month	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10
2018-01-01	7	185	385	-129	2260	98	245	1250	214	415
2018-01-02	7	108	79	-142	3280	113	149	1161	123	376
2018-01-03	8	214	80	-151	410	141	297	1315	146	397
2018-01-04	8	81	372	-160	1289	46	447	1389	200	253
2018-01-05	9	113	144	-173	1297	67	413	938	129	489
2018-01-06	9	214	326	-184	1517	111	156	1620	216	487
2018-01-07	10	141	308	-196	1488	99	101	1427	54	570
2018-01-08	10	105	276	-207	1019	155	112	1776	87	526
2018-01-09	11	208	222	-216	2118	83	268	1824	180	458
2018-01-10	11	190	378	-227	3173	206	448	1472	211	473
2018-01-11	12	48	330	-238	2310	172	421	1490	57	432
2018-01-12	13	141	111	-248	2595	175	178	1298	218	522
2018-01-13	13	143	385	-257	862	203	483	1671	199	655
2018-01-14	14	51	111	-268	1504	56	523	1752	182	552
2018-01-15	14	200	415	-280	2041	157	260	2193	113	509
2018-01-16	15	89	257	-290	1945	99	449	1759	102	566
2018-01-17	15	229	289	-301	907	135	517	1996	218	697
2018-01-18	16	88	436	-310	1423	195	398	2017	127	551
2018-01-19	16	230	172	-319	3178	179	384	1617	263	700
2018-01-20	17	39	204	-332	3175	172	371	2258	192	803
2018-01-21	17	180	174	-341	2613	153	253	2012	126	643
2018-01-22	18	225	490	-350	1520	72	304	2235	87	770
2018-01-23	18	116	160	-363	1948	226	260	2163	190	604
2018-01-24	19	149	319	-372	3791	120	316	1960	146	570
2018-01-25	19	116	532	-382	1719	177	233	2132	272	814
2018-01-26	20	236	188	-391	1552	254	431	2332	95	743
2018-01-27	20	76	168	-401	1785	147	509	2332	219	621
2018-01-28	21	97	241	-408	1172	238	545	2342	172	910
2018-01-29	21	66	238	-418	3199	225	396	2310	181	741
2018-01-30	22	136	498	-429	2117	138	460	2438	217	626
2018-01-31	22	224	447	-437	2006	115	307	2761	134	911
2018-02-01	22	127	281	-449	3516	180	344	2829	167	707
2018-02-02	23	230	542	-458	1668	267	340	2823	140	773
2018-02-03	23	86	450	-465	1798	173	561	2845	127	966
